label,text
Root Rot,The affected crop has black roots The affected root tips look unhealthy.
Aphid Infestation,A noticeable problem is yellowing leaves The symptoms are visible across several plants.
Stem Borer,The field currently has plants with dead central shoot Farmers are concerned about the crop condition.
Fusarium Wilt,The plants currently have gradual plant wilting Plant growth is affected.
Mosaic Virus,The farmer reports yellow green leaf markings The affected leaves are showing damage.
Damping Off,The farmer noticed brown tissue around seedling bases yesterday Farmers are concerned about the crop condition.
Late Blight,The plants have started showing dark patches with pale edges.
Leaf Blight,The farmer noticed brown spots on leaves yesterday Plant growth is affected.
Aphid Infestation,"During inspection, I found soft bodied insects under leaves Farmers are concerned about the crop condition."
Mosaic Virus,"After checking the field, I observed light and dark green patches."
Bacterial Leaf Spot,The affected crop has multiple dark spots on leaves The plant is losing vigor.
Late Blight,There are clear signs of large dark lesions on leaves.
Damping Off,"After checking the field, I observed water soaked seedling stems Farmers are concerned about the crop condition."
Bacterial Leaf Spot,There is an increasing problem with small water soaked spots on leaves The symptoms are visible across several plants.
Stem Borer,Many plants in the field show frass coming from stem openings Farmers are concerned about the crop condition.
Whitefly Infestation,I can see leaf yellowing with whiteflies on the crop The symptoms are visible across several plants.
Fruit Borer,I can see frass near fruit openings on the crop The affected fruit surface are showing damage.
Powdery Mildew,The crop appears to have white fungal patches on upper leaves The affected upper foliage look unhealthy.
Thrips Infestation,The crop appears to have damaged flower petals The problem is becoming more noticeable.
Stem Borer,The plants have started showing broken stems around bore holes The symptoms are visible across several plants.
Root Rot,"During inspection, I found roots turning brown The affected plant base are showing damage."
Powdery Mildew,Field inspection revealed powder like substance on foliage The affected upper foliage are showing damage.
Late Blight,The crop shows rotting leaves Farmers are concerned about the crop condition.
Fungal Wilt,"After checking the field, I observed leaves wilting gradually The problem is visible on the stems."
Thrips Infestation,There are clear signs of scarring on young leaves Farmers are concerned about the crop condition.
Powdery Mildew,The crop is developing white growth on stems The plant is losing vigor.
Powdery Mildew,There is an increasing problem with flour like growth on leaves Affected leaves are becoming weak.
Mosaic Virus,I noticed mosaic pattern on leaves in the field The plant is losing vigor.
Leaf Curl,I can see young leaves becoming curled on the crop The plant is losing vigor.
Rust,The crop shows reddish brown spots The problem is visible on the leaf surfaces.
Late Blight,The affected plants are showing large dark lesions on leaves The problem is visible on the stems.
Fungal Wilt,I can see lower leaves turning yellow on the crop The affected stems are showing damage.
Leaf Curl,The main symptom is new growth becoming twisted The affected new shoots look unhealthy.
Stem Borer,The crop is developing yellowing above damaged stems The affected central shoots are showing damage.
Whitefly Infestation,There are clear signs of sticky leaves Plant growth is affected.
Leaf Blight,The farmer reports dark lesions on foliage Farmers are concerned about the crop condition.
Fusarium Wilt,Many plants in the field show slow decline of the plant The affected vascular tissue are showing damage.
Rust,"During inspection, I found small orange fungal spots The plant is losing vigor."
Rust,The field currently has plants with rust colored dust The symptoms are visible across several plants.
Sooty Mold,The plants have started showing dark mold covering plant surfaces The affected leaves are showing damage.
Thrips Infestation,The affected plants are showing brown feeding marks The symptoms are visible across several plants.
Mosaic Virus,Many plants in the field show mosaic pattern on leaves The plant is losing vigor.
Sooty Mold,"After checking the field, I observed sooty appearance on foliage The plant is losing vigor."
Leaf Blight,There are clear signs of brown spots on leaves.
Nutrient Deficiency,The farmer reports young leaves remaining pale.
Damping Off,The farmer noticed rotting seedling bases yesterday Plant growth is affected.
Thrips Infestation,The affected crop has rough feeding scars The problem is becoming more noticeable.
Leaf Blight,The crop appears to have dead tissue on foliage The affected lower foliage look unhealthy.
Whitefly Infestation,The crop condition includes small white flies rising when disturbed The problem is becoming more noticeable.
Leaf Blight,The affected crop has brown spots on leaves The problem is visible on the lower foliage.
Whitefly Infestation,A noticeable problem is white insects clustered beneath foliage The problem is becoming more noticeable.
Nutrient Deficiency,The field currently has plants with uniform leaf discoloration The problem is becoming more noticeable.
Whitefly Infestation,The plants currently have whitefly nymphs on leaf undersides The problem is visible on the leaf undersides.
Powdery Mildew,"After checking the field, I observed dusty layer on leaves Plant growth is affected."
Mosaic Virus,The plants are showing vein clearing The problem is becoming more noticeable.
Thrips Infestation,There are clear signs of silvery patches on foliage Farmers are concerned about the crop condition.
Nutrient Deficiency,Several plants have weak stems Farmers are concerned about the crop condition.
Powdery Mildew,Recently the plants developed flour like growth on leaves.
Leaf Blight,The leaves or stems show leaves becoming brittle Farmers are concerned about the crop condition.
Bacterial Leaf Spot,There are clear signs of wet looking lesions on foliage The affected leaves look unhealthy.
Thrips Infestation,Many plants in the field show rough feeding scars The symptoms are visible across several plants.
Bacterial Leaf Spot,The plants have started showing black lesions on leaves The symptoms are visible across several plants.
Fruit Borer,The field currently has plants with early fruit dropping.
Bacterial Wilt,The crop appears to have leaves wilting without obvious dryness The affected stems are showing damage.
Rust,The farmer reports orange spots on leaves The problem is visible on the lower foliage.
Whitefly Infestation,"After checking the field, I observed small white flies rising when disturbed."
Fruit Borer,The leaves or stems show early fruit dropping Plant growth is affected.
Fruit Borer,Many plants in the field show webbing near fruit holes The affected fruit pulp look unhealthy.
Downy Mildew,The plants have started showing fuzzy growth beneath foliage The affected young foliage look unhealthy.
Leaf Curl,The leaves or stems show leaves folding along the edges The problem is visible on the young leaves.
Damping Off,I noticed brown tissue around seedling bases in the field The problem is becoming more noticeable.
Bacterial Leaf Spot,Several plants have tiny dark lesions on young leaves The problem is becoming more noticeable.
Downy Mildew,The field currently has plants with angular yellow spots The symptoms are visible across several plants.
Aphid Infestation,"During inspection, I found tiny insects clustered around shoots The plant is losing vigor."
Downy Mildew,A noticeable problem is grayish coating on leaf undersides The problem is becoming more noticeable.
Bacterial Leaf Spot,The affected crop has leaf spots becoming larger The affected leaves look unhealthy.
Late Blight,"During inspection, I found white fungal growth during humid weather The problem is visible on the lower foliage."
Mosaic Virus,The farmer noticed yellow green leaf markings yesterday Farmers are concerned about the crop condition.
Fusarium Wilt,Field inspection revealed slow decline of the plant.
Mosaic Virus,The main symptom is light and dark green patches The symptoms are visible across several plants.
Nutrient Deficiency,Several plants have weak stems Overall plant vigor is reduced.
Damping Off,I noticed water soaked seedling stems in the field The plant is losing vigor.
Fruit Borer,The crop is developing insect larvae inside fruits The affected fruit pulp look unhealthy.
Fruit Borer,There is an increasing problem with damaged young fruits Fruit production is being reduced.
Nutrient Deficiency,Several plants have stunted plants The problem is visible on the young leaves.
Aphid Infestation,The affected crop has tiny insects clustered around shoots The problem is becoming more noticeable.
Whitefly Infestation,Recently the plants developed sticky honeydew from insects The plant is losing vigor.
Fruit Borer,"During inspection, I found caterpillar inside the fruit The problem is visible on the fruits."
Nutrient Deficiency,The leaves or stems show slow plant growth Farmers are concerned about the crop condition.
Mosaic Virus,The farmer reports mosaic markings on young leaves The affected leaves are showing damage.
Bacterial Wilt,Several plants have leaves wilting without obvious dryness The plant does not recover after watering.
Thrips Infestation,The field currently has plants with damaged flower petals The plant is losing vigor.
Fusarium Wilt,The plants are showing lower leaves becoming yellow The problem is visible on the vascular tissue.
Mosaic Virus,The crop shows mottled foliage New leaves are distorted.
Thrips Infestation,The main symptom is scarring on young leaves The affected buds look unhealthy.
Late Blight,Many plants in the field show large dark lesions on leaves Farmers are concerned about the crop condition.
Fruit Borer,The crop condition includes dark entry holes Farmers are concerned about the crop condition.
Bacterial Wilt,The plants currently have whole plant losing firmness Farmers are concerned about the crop condition.
Damping Off,The crop is developing rotting seedling bases The problem is becoming more noticeable.
Whitefly Infestation,The crop condition includes small white flies rising when disturbed The problem is visible on the leaf undersides.
Root Rot,The crop shows plant wilting despite watering The affected root tips look unhealthy.
Nutrient Deficiency,The crop shows yellowing between leaf veins The affected young leaves look unhealthy.
Downy Mildew,The farmer noticed grayish coating on leaf undersides yesterday The plant is losing vigor.
Thrips Infestation,There are clear signs of silvery patches on foliage The problem is becoming more noticeable.
Fungal Wilt,The field currently has plants with persistent wilting Plant growth is affected.
Downy Mildew,The crop appears to have yellow areas between leaf veins.
Stem Borer,"During inspection, I found hollow stems Plant growth is affected."
Fusarium Wilt,The plants have started showing persistent daytime wilt The plant is losing vigor.
Fruit Borer,There is an increasing problem with rotting around insect holes The symptoms are visible across several plants.
Leaf Blight,Field inspection revealed dry patches spreading Leaves are drying.
Root Rot,There are clear signs of plant wilting despite watering Plant growth is affected.
Leaf Curl,I can see distorted foliage on the crop The plant is losing vigor.
Thrips Infestation,The plants are showing damaged flower petals Affected foliage is becoming weak.
Leaf Blight,The crop shows irregular brown lesions The plant is losing vigor.
Leaf Curl,The crop shows abnormally curled plant tips The problem is visible on the leaf margins.
Leaf Blight,The crop appears to have dry patches spreading The symptoms are visible across several plants.
Late Blight,Many plants in the field show rapid leaf browning Infected plant parts are turning dark.
Sooty Mold,The plants have started showing dark coating around honeydew Affected leaves have reduced photosynthesis.
Bacterial Leaf Spot,Many plants in the field show tiny dark lesions on young leaves.
Fruit Borer,The plants have started showing caterpillar inside the fruit Affected fruits are rotting.
Mosaic Virus,The plants currently have mottled foliage.
Fruit Borer,The crop condition includes insect larvae inside fruits The problem is becoming more noticeable.
Mosaic Virus,Many plants in the field show vein clearing Farmers are concerned about the crop condition.
Fungal Wilt,The plants are showing one side of the plant wilting The plant is losing vigor.
Late Blight,The leaves or stems show dark patches with pale edges The disease is spreading rapidly.
Leaf Curl,Recently the plants developed curled leaf margins The affected leaf margins are showing damage.
Mosaic Virus,A noticeable problem is mosaic markings on young leaves The plant is losing vigor.
Bacterial Leaf Spot,Recently the plants developed wet looking lesions on foliage The problem is visible on the young foliage.
Mosaic Virus,The leaves or stems show mosaic pattern on leaves The plant is losing vigor.
Whitefly Infestation,There are clear signs of sticky honeydew from insects The problem is becoming more noticeable.
Bacterial Wilt,The crop condition includes whole plant losing firmness The problem is becoming more noticeable.
Powdery Mildew,The plants have started showing flour like growth on leaves Plant growth is affected.
Rust,A noticeable problem is brown rust marks Plant growth is affected.
Fungal Wilt,The affected crop has one side of the plant wilting Farmers are concerned about the crop condition.
Root Rot,There are clear signs of roots decaying near soil The affected underground roots look unhealthy.
Fruit Borer,A noticeable problem is frass near fruit openings The problem is visible on the fruits.
Bacterial Leaf Spot,The crop appears to have small water soaked spots on leaves The symptoms are visible across several plants.
Leaf Curl,The affected crop has leaves rolling inward.
Fungal Wilt,"During inspection, I found persistent wilting The problem is visible on the leaves."
Fungal Wilt,The affected crop has plant becoming weak The problem is becoming more noticeable.
Mosaic Virus,"After checking the field, I observed uneven green coloration The symptoms are visible across several plants."
Fungal Wilt,The leaves or stems show persistent wilting The problem is becoming more noticeable.
Leaf Blight,There is an increasing problem with large brown patches The affected leaves look unhealthy.
Late Blight,The farmer reports brown lesions spreading quickly The problem is visible on the stems.
Rust,A noticeable problem is reddish lesions The problem is visible on the lower foliage.
Mosaic Virus,I can see uneven green coloration on the crop The affected leaves look unhealthy.
Leaf Curl,The affected plants are showing new growth becoming twisted Farmers are concerned about the crop condition.
Whitefly Infestation,The affected plants are showing tiny white insects flying around leaves The problem is visible on the leaves.
Downy Mildew,I can see yellowing foliage with gray growth on the crop Plant growth is affected.
Fusarium Wilt,There is an increasing problem with gradual plant wilting The affected vascular tissue are showing damage.
Downy Mildew,There is an increasing problem with angular yellow spots The problem is visible on the leaf undersides.
Fungal Wilt,Field inspection revealed persistent wilting.
Bacterial Leaf Spot,A noticeable problem is dark brown spots on foliage Leaf tissue is dying around the spots.
Late Blight,The crop is developing brown lesions after wet weather The affected lower foliage are showing damage.
Powdery Mildew,The plants currently have white fungal coating The problem is visible on the young shoots.
Nutrient Deficiency,The plants have started showing poor leaf development The problem is visible on the stems.
Root Rot,The plants have started showing black roots Plant growth is affected.
Fusarium Wilt,The farmer reports brown vascular tissue The affected stems are showing damage.
Damping Off,The plants are showing brown tissue around seedling bases Plant growth is affected.
Fungal Wilt,The affected plants are showing brown discoloration inside stems The plant is losing vigor.
Late Blight,"After checking the field, I observed water soaked leaf patches Plant growth is affected."
Stem Borer,The plants have started showing yellowing above damaged stems.
Bacterial Wilt,The field currently has plants with rapid plant collapse Farmers are concerned about the crop condition.
Damping Off,The affected crop has rotting seedling bases The affected plant base are showing damage.
Bacterial Wilt,The affected plants are showing leaves wilting without obvious dryness The symptoms are visible across several plants.
Leaf Blight,The plants have started showing drying leaf tips Farmers are concerned about the crop condition.
Fusarium Wilt,Field inspection revealed brown streaks inside stems The symptoms are visible across several plants.
Nutrient Deficiency,The plants are showing stunted plants The plant is losing vigor.
Stem Borer,Several plants have frass coming from stem openings The problem is visible on the stems.
Rust,The farmer reports rusty patches on foliage The problem is becoming more noticeable.
Leaf Blight,I can see dead tissue on foliage on the crop Leaves are drying.
Bacterial Wilt,I can see vascular discoloration inside stems on the crop Affected plants may die suddenly.
Aphid Infestation,The affected crop has distorted new growth The problem is becoming more noticeable.
Rust,Several plants have yellow orange pustules The problem is visible on the lower foliage.
Leaf Curl,The plants have started showing twisted shoots Plant development is slowing.
Whitefly Infestation,The farmer reports cloud of white insects The symptoms are visible across several plants.
Leaf Curl,The affected crop has narrow distorted leaves The plant is losing vigor.
Downy Mildew,The plants have started showing gray fungal growth under leaves The problem is becoming more noticeable.
Aphid Infestation,There are clear signs of yellowing leaves The plant is losing vigor.
Thrips Infestation,There are clear signs of black specks on leaves The affected leaves look unhealthy.
Fusarium Wilt,There are clear signs of yellowing of older leaves Plant growth becomes stunted.
Leaf Curl,"After checking the field, I observed leaves curling upward The affected new shoots look unhealthy."
Bacterial Leaf Spot,"During inspection, I found yellow halos around leaf spots The affected young foliage look unhealthy."
Leaf Blight,Many plants in the field show leaf edges turning brown The problem is visible on the lower foliage.
Sooty Mold,There is an increasing problem with sooty appearance on foliage Affected leaves have reduced photosynthesis.
Leaf Curl,The plants currently have leaves curling upward The affected plant tips look unhealthy.
Sooty Mold,A noticeable problem is gray black film on leaves The problem is visible on the leaves.
Bacterial Leaf Spot,The crop appears to have brown patches surrounded by yellow tissue The damaged areas are expanding.
Thrips Infestation,Field inspection revealed silver streaks on leaves The affected young shoots look unhealthy.
Thrips Infestation,There are clear signs of brown feeding marks The symptoms are visible across several plants.
Rust,There is an increasing problem with reddish brown spots The problem is visible on the leaves.
Bacterial Leaf Spot,"After checking the field, I observed brown patches surrounded by yellow tissue The damaged areas are expanding."
Fungal Wilt,The leaves or stems show leaves wilting gradually Farmers are concerned about the crop condition.
Root Rot,I noticed mushy root tissue in the field Plant growth is affected.
Leaf Blight,There is an increasing problem with leaf edges turning brown.
Fungal Wilt,Field inspection revealed plant becoming weak The plant is losing vigor.
Leaf Blight,The affected crop has irregular brown lesions Plant growth is affected.
Powdery Mildew,The farmer reports white growth on stems New shoots are becoming affected.
Rust,Field inspection revealed rust colored dust Farmers are concerned about the crop condition.
Damping Off,"After checking the field, I observed weak stems in young plants The problem is becoming more noticeable."
Powdery Mildew,"During inspection, I found white fungal coating The affected young shoots are showing damage."
Powdery Mildew,The farmer noticed white spots spreading across leaves yesterday Plant growth is affected.
Downy Mildew,The crop shows yellow patches on leaves The problem is becoming more noticeable.
Late Blight,There is an increasing problem with large dark lesions on leaves.
Mosaic Virus,The affected plants are showing mottled foliage The plant is losing vigor.
Downy Mildew,Many plants in the field show angular yellow spots The affected young foliage are showing damage.
Whitefly Infestation,The crop is developing small white flies rising when disturbed The symptoms are visible across several plants.
Powdery Mildew,Field inspection revealed dusty layer on leaves The affected stems look unhealthy.
Late Blight,Field inspection revealed brown lesions after wet weather Plant growth is affected.
Whitefly Infestation,The crop appears to have sticky leaves The problem is visible on the leaves.
Leaf Blight,The affected crop has leaf edges turning brown The symptoms are visible across several plants.
Mosaic Virus,The farmer reports irregular leaf discoloration Plant growth is affected.
Leaf Blight,A noticeable problem is dry patches spreading Farmers are concerned about the crop condition.
Downy Mildew,"After checking the field, I observed gray fungal growth under leaves."
Stem Borer,Field inspection revealed yellowing above damaged stems The affected stems look unhealthy.
Root Rot,There are clear signs of plant easily pulling from soil.
Leaf Blight,Recently the plants developed dark lesions on foliage The affected lower foliage look unhealthy.
Bacterial Wilt,The plants have started showing wilting during the daytime Affected plants may die suddenly.
Rust,The crop shows brown rust marks The symptoms are visible across several plants.
Fruit Borer,A noticeable problem is dark entry holes The affected fruit surface are showing damage.
Thrips Infestation,"During inspection, I found damaged flower petals Farmers are concerned about the crop condition."
Mosaic Virus,The farmer noticed mosaic pattern on leaves yesterday Plant growth is affected.
Damping Off,There are clear signs of water soaked seedling stems Plant growth is affected.
Powdery Mildew,The crop is developing white powder on leaves New shoots are becoming affected.
Leaf Blight,The plants currently have irregular brown lesions The affected leaf tips are showing damage.
Bacterial Wilt,Recently the plants developed plant remaining wilted after watering The affected whole plant are showing damage.
Aphid Infestation,I noticed distorted new growth in the field The problem is visible on the leaves.
Bacterial Leaf Spot,The farmer reports irregular spots spreading across leaves Farmers are concerned about the crop condition.
Stem Borer,The affected plants are showing frass coming from stem openings.
Bacterial Leaf Spot,The crop shows small water soaked spots on leaves The plant looks weaker than normal.
Fungal Wilt,The crop is developing stem tissue becoming brown The problem is visible on the branches.
Root Rot,The main symptom is dark damaged roots The affected roots are showing damage.
Leaf Blight,I noticed brown spots on leaves in the field.
Leaf Blight,I noticed brown spots on leaves in the field Plant growth is affected.
Whitefly Infestation,The field currently has plants with white insects clustered beneath foliage The problem is becoming more noticeable.
Leaf Blight,A noticeable problem is drying leaf tips Leaves are drying.
Leaf Blight,I can see brown spots on leaves on the crop The affected lower foliage look unhealthy.
Leaf Curl,Recently the plants developed twisted shoots The problem is becoming more noticeable.
Fusarium Wilt,There are clear signs of leaf curling with wilt The problem is becoming more noticeable.
Thrips Infestation,The affected crop has rough feeding scars Farmers are concerned about the crop condition.
Stem Borer,I noticed sawdust near stem holes in the field The affected central shoots are showing damage.
Aphid Infestation,Several plants have small insects sucking plant sap.
Leaf Blight,The farmer noticed irregular brown lesions yesterday The symptoms are visible across several plants.
Thrips Infestation,There are clear signs of black specks on leaves The problem is visible on the young shoots.
Leaf Curl,Field inspection revealed distorted foliage The problem is becoming more noticeable.
Fruit Borer,A noticeable problem is rotting around insect holes The affected fruit pulp are showing damage.
Nutrient Deficiency,There are clear signs of older leaves turning yellow The symptoms are visible across several plants.
Bacterial Wilt,The crop appears to have plant remaining wilted after watering The problem is visible on the branches.
Rust,There are clear signs of rusty patches on foliage The symptoms are visible across several plants.
Bacterial Leaf Spot,The plants are showing leaf spots becoming larger.
Thrips Infestation,There are clear signs of rough feeding scars The problem is visible on the buds.
Leaf Curl,The plants currently have abnormally curled plant tips The affected young leaves are showing damage.
Fruit Borer,The field currently has plants with dark entry holes The affected fruit surface are showing damage.
Aphid Infestation,The farmer reports tiny insects clustered around shoots The symptoms are visible across several plants.
Whitefly Infestation,Many plants in the field show tiny white insects flying around leaves The plant is losing vigor.
Leaf Curl,The farmer reports narrow distorted leaves Farmers are concerned about the crop condition.
Nutrient Deficiency,The crop condition includes yellowing between leaf veins Plants remain smaller than normal.
Thrips Infestation,I can see silver streaks on leaves on the crop Plant growth is affected.
Late Blight,The crop appears to have brown lesions spreading quickly The affected leaves are showing damage.
Sooty Mold,The leaves or stems show sooty appearance on foliage.
Downy Mildew,The field currently has plants with yellow areas between leaf veins The plant is losing vigor.
Mosaic Virus,The crop condition includes distorted leaves The affected plant tips look unhealthy.
Nutrient Deficiency,The field currently has plants with older leaves turning yellow Farmers are concerned about the crop condition.
Damping Off,Recently the plants developed weak stems in young plants The affected seedling roots look unhealthy.
Leaf Blight,Several plants have dry patches spreading The plant is losing vigor.
Damping Off,"After checking the field, I observed brown tissue around seedling bases."
Downy Mildew,The leaves or stems show irregular pale patches Plant growth is affected.
Mosaic Virus,Field inspection revealed light and dark green patches The symptoms are visible across several plants.
Downy Mildew,The affected plants are showing yellow patches on leaves The affected leaf undersides are showing damage.
Root Rot,The field currently has plants with soft rotten roots Affected plants may die.
Leaf Curl,Field inspection revealed young leaves becoming curled The affected young leaves are showing damage.
Sooty Mold,Field inspection revealed gray black film on leaves Affected leaves have reduced photosynthesis.
Leaf Blight,A noticeable problem is drying leaf tips Plant growth is affected.
Leaf Blight,Many plants in the field show leaf edges turning brown The plant is losing vigor.
Downy Mildew,The crop shows yellowing foliage with gray growth The plant is losing vigor.
Mosaic Virus,The plants are showing yellow green leaf markings The problem is visible on the plant tips.
Leaf Blight,The crop condition includes drying leaf tips The affected leaf margins look unhealthy.
Thrips Infestation,The affected crop has tiny insects on flowers Plant growth is affected.
Downy Mildew,I can see yellow areas between leaf veins on the crop The problem is visible on the lower leaves.
Damping Off,I noticed young seedlings suddenly dying in the field Young plants are dying in patches.
Thrips Infestation,The crop is developing silver streaks on leaves.
Mosaic Virus,The crop condition includes uneven green coloration The symptoms are visible across several plants.
Root Rot,"During inspection, I found bad smell from roots The affected underground roots are showing damage."
Damping Off,The leaves or stems show rotting seedling bases The affected plant base are showing damage.
Powdery Mildew,The crop shows whitish coating on young shoots The affected young shoots are showing damage.
Aphid Infestation,A noticeable problem is sticky residue on stems Plant growth is affected.
Stem Borer,"After checking the field, I observed broken stems around bore holes."
Thrips Infestation,There are clear signs of leaf curling with insects The affected buds are showing damage.
Sooty Mold,The affected plants are showing black coating on leaves Plant growth is affected.
Nutrient Deficiency,The plants have started showing uniform leaf discoloration.
Rust,Field inspection revealed rust colored dust Plant vigor is decreasing.
Bacterial Leaf Spot,The affected plants are showing black lesions on leaves The affected lower leaves are showing damage.
Whitefly Infestation,The affected crop has sticky leaves The problem is becoming more noticeable.
Leaf Blight,The plants are showing blackish marks on leaves The affected leaf tips look unhealthy.
Root Rot,The plants have started showing dark damaged roots The affected roots look unhealthy.
Rust,The plants currently have brown rust marks The affected leaf surfaces look unhealthy.
Bacterial Wilt,Several plants have sudden wilting of the plant The plant is losing vigor.
Sooty Mold,I can see dark mold covering plant surfaces on the crop The problem is visible on the plant surfaces.
Aphid Infestation,I noticed sticky residue on stems in the field The affected buds look unhealthy.
Fungal Wilt,The plants have started showing slow plant decline The affected roots are showing damage.
Nutrient Deficiency,The plants have started showing poor leaf development Farmers are concerned about the crop condition.
Mosaic Virus,The affected crop has vein clearing The problem is visible on the new shoots.
Fusarium Wilt,There is an increasing problem with one sided wilting The problem is becoming more noticeable.
Root Rot,The crop shows plant easily pulling from soil Plant growth is affected.
Sooty Mold,The plants are showing sooty appearance on foliage The plant is losing vigor.
Fruit Borer,The main symptom is rotting around insect holes Marketable fruit quality is decreasing.
Whitefly Infestation,The crop appears to have tiny white insects flying around leaves The problem is visible on the young foliage.
Mosaic Virus,The plants have started showing yellow green leaf markings Farmers are concerned about the crop condition.
Aphid Infestation,The farmer reports curled young leaves The symptoms are visible across several plants.
Stem Borer,The crop appears to have hollow stems The affected main branches look unhealthy.
Late Blight,The leaves or stems show dark spots on stems The plant is losing vigor.
Fungal Wilt,Several plants have slow plant decline The affected branches look unhealthy.
Root Rot,Many plants in the field show poor root development The problem is becoming more noticeable.
Damping Off,The crop is developing soft stems near the soil The affected seedling roots are showing damage.
Thrips Infestation,Several plants have black specks on leaves Farmers are concerned about the crop condition.
Late Blight,The crop shows rapid leaf browning The affected stems look unhealthy.
Thrips Infestation,Field inspection revealed tiny insects on flowers The affected flowers are showing damage.
Fungal Wilt,I noticed yellowing foliage in the field Plant growth is affected.
Downy Mildew,A noticeable problem is yellowing foliage with gray growth Affected leaves are becoming weak.
Leaf Blight,"During inspection, I found irregular brown lesions The affected leaves are showing damage."
Root Rot,The plants have started showing poor root development The symptoms are visible across several plants.
Late Blight,The plants have started showing large dark lesions on leaves The problem is visible on the leaves.
Late Blight,Field inspection revealed brown lesions after wet weather The disease is spreading rapidly.
Rust,The crop appears to have rust colored dust Foliage is losing its healthy appearance.
Fruit Borer,Recently the plants developed fruit pulp being eaten The problem is becoming more noticeable.
Bacterial Leaf Spot,The farmer reports yellow halos around leaf spots Plant growth is affected.
Bacterial Leaf Spot,The plants have started showing brown patches surrounded by yellow tissue The problem is visible on the leaf margins.
Thrips Infestation,The field currently has plants with distorted new growth The problem is visible on the leaves.
Downy Mildew,The leaves or stems show fuzzy growth beneath foliage The problem is visible on the lower leaves.
Thrips Infestation,The crop shows black specks on leaves.
Bacterial Wilt,"During inspection, I found plant remaining wilted after watering Plant growth is affected."
Root Rot,"After checking the field, I observed roots turning brown The affected roots look unhealthy."
Whitefly Infestation,Many plants in the field show small white insects on plant leaves The problem is becoming more noticeable.
Leaf Curl,"After checking the field, I observed leaves curling upward The plant is losing vigor."
Fusarium Wilt,A noticeable problem is persistent daytime wilt Farmers are concerned about the crop condition.
Fusarium Wilt,"After checking the field, I observed lower leaves becoming yellow The plant is losing vigor."
Whitefly Infestation,The plants currently have tiny white insects flying around leaves.
Rust,"After checking the field, I observed rust colored pustules Farmers are concerned about the crop condition."
Mosaic Virus,"After checking the field, I observed vein clearing The problem is becoming more noticeable."
Stem Borer,The affected crop has dead central shoot.
Leaf Curl,The crop is developing abnormally curled plant tips The affected leaf margins are showing damage.
Fruit Borer,The leaves or stems show rotting around insect holes Farmers are concerned about the crop condition.
Leaf Curl,The leaves or stems show young leaves becoming curled The problem is visible on the plant tips.
Whitefly Infestation,The main symptom is whitefly nymphs on leaf undersides The plant is losing vigor.
Mosaic Virus,The plants have started showing mottled foliage The symptoms are visible across several plants.
Whitefly Infestation,"After checking the field, I observed sticky honeydew from insects The affected leaf undersides look unhealthy."
Root Rot,"After checking the field, I observed soft rotten roots The plant cannot absorb enough water."
Damping Off,There are clear signs of young plants falling over The affected seedling roots look unhealthy.
Root Rot,The leaves or stems show soft rotten roots The problem is becoming more noticeable.
Aphid Infestation,Several plants have ants around the plant The problem is becoming more noticeable.
Root Rot,The crop shows roots decaying near soil Farmers are concerned about the crop condition.
Mosaic Virus,The plants have started showing vein clearing The symptoms are visible across several plants.
Mosaic Virus,"After checking the field, I observed distorted leaves The symptoms are visible across several plants."
Late Blight,Many plants in the field show rapid leaf browning The problem is becoming more noticeable.
Root Rot,The affected plants are showing mushy root tissue The problem is becoming more noticeable.
Nutrient Deficiency,The affected plants are showing older leaves turning yellow.
Leaf Curl,I can see twisted shoots on the crop The symptoms are visible across several plants.
Bacterial Leaf Spot,A noticeable problem is multiple dark spots on leaves The symptoms are visible across several plants.
Aphid Infestation,The crop shows soft bodied insects under leaves Plant growth has slowed.
Sooty Mold,The farmer reports sooty appearance on foliage Plant growth is affected.
Nutrient Deficiency,The field currently has plants with yellow leaves The problem is becoming more noticeable.
Fungal Wilt,I noticed plant becoming weak in the field Plant growth is affected.
Fruit Borer,There is an increasing problem with fruit pulp being eaten The symptoms are visible across several plants.
Mosaic Virus,The crop condition includes mosaic markings on young leaves The problem is becoming more noticeable.
Aphid Infestation,"During inspection, I found small green insects on young leaves The plant is losing vigor."
Whitefly Infestation,The farmer noticed white insects clustered beneath foliage yesterday Leaves are becoming yellow.
Sooty Mold,A noticeable problem is black growth on stems The problem is visible on the stems.
Bacterial Wilt,"During inspection, I found plant remaining wilted after watering The plant is losing vigor."
Bacterial Wilt,The affected plants are showing plant remaining wilted after watering The affected leaves are showing damage.
Damping Off,The leaves or stems show weak stems in young plants The plant is losing vigor.
Fungal Wilt,The leaves or stems show one side of the plant wilting The affected leaves look unhealthy.
Fusarium Wilt,The affected plants are showing persistent daytime wilt The affected stems are showing damage.
Fusarium Wilt,A noticeable problem is gradual plant wilting The affected whole plant are showing damage.
Whitefly Infestation,There are clear signs of whitefly nymphs on leaf undersides The problem is visible on the leaves.
Downy Mildew,The plants have started showing pale yellow leaf lesions Farmers are concerned about the crop condition.
Fungal Wilt,The plants currently have yellowing foliage The problem is becoming more noticeable.
Thrips Infestation,The crop is developing brown feeding marks The problem is becoming more noticeable.
Thrips Infestation,There is an increasing problem with scarring on young leaves The affected flowers look unhealthy.
Thrips Infestation,The crop condition includes scarring on young leaves The problem is visible on the flowers.
